Philipp Grubauer,143.83,3,  KKUPFL ADP: 198.29  |  DOM RK (PUCKIN AROUND): 138
Sam Bennett,144.94,6,  KKUPFL ADP: 171.81  |  Elite Prospects Rank: 233.0  |  Steve Laidlaw Rank: 125  |  NHL.com (Points): 96  |  DOM RK (PUCKIN AROUND): 140
Joonas Korpisalo,148.64,4,  KKUPFL ADP: 173.91  |  Elite Prospects Rank: 148.0  |  DOM RK (PUCKIN AROUND): 146
Nick Schmaltz,148.85,6,  KKUPFL ADP: 132.39  |  Elite Prospects Rank: 124.0  |  Steve Laidlaw Rank: 152  |  NHL.com (Points): 83  |  DOM RK (PUCKIN AROUND): 160
Nick Backstrom,151.0,1,  Steve Laidlaw Rank: 151
Rasmus Andersson,152.23,5,  KKUPFL ADP: 127.88  |  Elite Prospects Rank: 113.0  |  Steve Laidlaw Rank: 134  |  DOM RK (PUCKIN AROUND): 161
David Perron,153.47,6,  KKUPFL ADP: 181.28  |  Elite Prospects Rank: 192.0  |  Steve Laidlaw Rank: 81  |  NHL.com (Points): 136  |  DOM RK (PUCKIN AROUND): 156
Jean-Gabriel Pageau,154.32,3,  NHL.com (Points): 176  |  DOM RK (PUCKIN AROUND): 152
Vladimir Tarasenko,155.03,6,  KKUPFL ADP: 118.11  |  Elite Prospects Rank: 82.0  |  Steve Laidlaw Rank: 164  |  NHL.com (Points): 79  |  DOM RK (PUCKIN AROUND): 174
Pavel Zacha,158.92,6,  KKUPFL ADP: 171.2  |  Elite Prospects Rank: 120.0  |  Steve Laidlaw Rank: 239  |  NHL.com (Points): 114  |  DOM RK (PUCKIN AROUND): 158
Josh Norris,159.0,6,  KKUPFL ADP: 129.72  |  Elite Prospects Rank: 140.0  |  Steve Laidlaw Rank: 112  |  NHL.com (Points): 77  |  DOM RK (PUCKIN AROUND): 178
Anders Lee,160.14,6,  KKUPFL ADP: 194.89  |  Elite Prospects Rank: 214.0  |  Steve Laidlaw Rank: 146  |  NHL.com (Points): 143  |  DOM RK (PUCKIN AROUND): 154
Andrei Kuzmenko,161.58,6,  KKUPFL ADP: 109.38  |  Elite Prospects Rank: 71.0  |  Steve Laidlaw Rank: 185  |  NHL.com (Points): 53  |  DOM RK (PUCKIN AROUND): 186
Tye Kartye,165.0,1,  NHL.com (Points): 165
Ross Colton,166.12,5,  KKUPFL ADP: 248.16  |  Steve Laidlaw Rank: 235  |  NHL.com (Points): 175  |  DOM RK (PUCKIN AROUND): 149
Frederik Andersen,166.17,4,  KKUPFL ADP: 166.58  |  Elite Prospects Rank: 130.0  |  DOM RK (PUCKIN AROUND): 170
Martin Fehervary,167.0,2,  DOM RK (PUCKIN AROUND): 167
Ville Husso,167.63,3,  KKUPFL ADP: 182.89  |  DOM RK (PUCKIN AROUND): 166
Lucas Raymond,167.91,6,  KKUPFL ADP: 175.41  |  Elite Prospects Rank: 99.0  |  Steve Laidlaw Rank: 170  |  NHL.com (Points): 105  |  DOM RK (PUCKIN AROUND): 181
Mario Ferraro,168.0,2,  DOM RK (PUCKIN AROUND): 168
Sean Durzi,168.85,4,  KKUPFL ADP: 159.33  |  Steve Laidlaw Rank: 149  |  DOM RK (PUCKIN AROUND): 172
Robert Thomas,169.49,6,  KKUPFL ADP: 166.84  |  Elite Prospects Rank: 84.0  |  Steve Laidlaw Rank: 126  |  NHL.com (Points): 63  |  DOM RK (PUCKIN AROUND): 195
Mike Matheson,170.77,5,  KKUPFL ADP: 111.52  |  Elite Prospects Rank: 161.0  |  Steve Laidlaw Rank: 79  |  DOM RK (PUCKIN AROUND): 188
Bryan Rust,171.39,6,  KKUPFL ADP: 188.17  |  Elite Prospects Rank: 229.0  |  Steve Laidlaw Rank: 133  |  NHL.com (Points): 139  |  DOM RK (PUCKIN AROUND): 171
Thomas Chabot,172.22,5,  KKUPFL ADP: 122.75  |  Elite Prospects Rank: 85.0  |  Steve Laidlaw Rank: 87  |  DOM RK (PUCKIN AROUND): 196
Andrew Mangiapane,173.4,6,  KKUPFL ADP: 234.03  |  Elite Prospects Rank: 210.0  |  Steve Laidlaw Rank: 172  |  NHL.com (Points): 156  |  DOM RK (PUCKIN AROUND): 165
Neal Pionk,173.57,4,  KKUPFL ADP: 224.13  |  Steve Laidlaw Rank: 231  |  DOM RK (PUCKIN AROUND): 162
Nino Niederreiter,174.14,5,  KKUPFL ADP: 248.09  |  Elite Prospects Rank: 234.0  |  Steve Laidlaw Rank: 219  |  DOM RK (PUCKIN AROUND): 155
Seth Jarvis,176.32,6,  KKUPFL ADP: 204.21  |  Elite Prospects Rank: 139.0  |  Steve Laidlaw Rank: 213  |  NHL.com (Points): 152  |  DOM RK (PUCKIN AROUND): 176
Alex Killorn,179.81,6,  KKUPFL ADP: 216.41  |  Elite Prospects Rank: 191.0  |  Steve Laidlaw Rank: 190  |  NHL.com (Points): 148  |  DOM RK (PUCKIN AROUND): 177
Scott Laughton,180.46,4,  KKUPFL ADP: 249.83  |  Steve Laidlaw Rank: 218  |  DOM RK (PUCKIN AROUND): 169
Viktor Arvidsson,180.87,6,  KKUPFL ADP: 137.22  |  Elite Prospects Rank: 168.0  |  Steve Laidlaw Rank: 118  |  NHL.com (Points): 103  |  DOM RK (PUCKIN AROUND): 202
Evgenii Dadonov,181.0,1,  NHL.com (Points): 181
Tommy Novak,181.33,3,  Elite Prospects Rank: 249.0  |  Steve Laidlaw Rank: 158  |  NHL.com (Points): 137
Garnet Hathaway,183.0,2,  DOM RK (PUCKIN AROUND): 183
Karel Vejmelka,183.42,4,  KKUPFL ADP: 224.41  |  Elite Prospects Rank: 81.0  |  DOM RK (PUCKIN AROUND): 190
Pheonix Copley,184.96,4,  KKUPFL ADP: 224.55  |  Elite Prospects Rank: 145.0  |  DOM RK (PUCKIN AROUND): 185
Reilly Smith,185.28,6,  KKUPFL ADP: 180.42  |  Elite Prospects Rank: 186.0  |  Steve Laidlaw Rank: 171  |  NHL.com (Points): 169  |  DOM RK (PUCKIN AROUND): 189
Brayden Mcnabb,186.95,3,  KKUPFL ADP: 251.8  |  DOM RK (PUCKIN AROUND): 180
Rasmus Ristolainen,188.6,3,  KKUPFL ADP: 250.17  |  DOM RK (PUCKIN AROUND): 182
Mason Mctavish,188.98,6,  KKUPFL ADP: 226.08  |  Elite Prospects Rank: 158.0  |  Steve Laidlaw Rank: 178  |  NHL.com (Points): 119  |  DOM RK (PUCKIN AROUND): 197
Ryan Hartman,189.99,6,  KKUPFL ADP: 179.14  |  Elite Prospects Rank: 232.0  |  Steve Laidlaw Rank: 193  |  NHL.com (Points): 81  |  DOM RK (PUCKIN AROUND): 198
Andre Burakovsky,190.56,6,  KKUPFL ADP: 221.8  |  Elite Prospects Rank: 183.0  |  Steve Laidlaw Rank: 122  |  NHL.com (Points): 110  |  DOM RK (PUCKIN AROUND): 204
Josh Anderson,191.93,5,  KKUPFL ADP: 252.46  |  Steve Laidlaw Rank: 226  |  NHL.com (Points): 218  |  DOM RK (PUCKIN AROUND): 179
Kaapo Kahkonen,192.0,2,  DOM RK (PUCKIN AROUND): 192
Jeff Petry,192.44,4,  KKUPFL ADP: 210.3  |  Steve Laidlaw Rank: 188  |  DOM RK (PUCKIN AROUND): 191
T.J. Oshie,193.59,4,  KKUPFL ADP: 245.67  |  NHL.com (Points): 147  |  DOM RK (PUCKIN AROUND): 193
Brock Boeser,194.35,6,  KKUPFL ADP: 187.98  |  Elite Prospects Rank: 151.0  |  Steve Laidlaw Rank: 128  |  NHL.com (Points): 127  |  DOM RK (PUCKIN AROUND): 214
Phillip Danault,199.33,6,  KKUPFL ADP: 248.11  |  Elite Prospects Rank: 175.0  |  Steve Laidlaw Rank: 271  |  NHL.com (Points): 153  |  DOM RK (PUCKIN AROUND): 194
Tyson Foerster,200.05,2,  KKUPFL ADP: 246.09  |  NHL.com (Points): 154
K'Andre Miller,200.48,4,  KKUPFL ADP: 178.06  |  Elite Prospects Rank: 162.0  |  DOM RK (PUCKIN AROUND): 207
Jared Spurgeon,202.24,4,  KKUPFL ADP: 196.73  |  Steve Laidlaw Rank: 154  |  DOM RK (PUCKIN AROUND): 208
Dylan Dube,203.0,1,  Elite Prospects Rank: 203.0
Noah Hanifin,203.86,5,  KKUPFL ADP: 223.3  |  Elite Prospects Rank: 150.0  |  Steve Laidlaw Rank: 181  |  DOM RK (PUCKIN AROUND): 210
Luke Schenn,204.15,3,  KKUPFL ADP: 252.19  |  DOM RK (PUCKIN AROUND): 199
Dillon Dube,204.28,4,  KKUPFL ADP: 252.5  |  NHL.com (Points): 196  |  DOM RK (PUCKIN AROUND): 200
Marcus Foligno,205.0,2,  DOM RK (PUCKIN AROUND): 205
Tyler Seguin,208.67,6,  KKUPFL ADP: 227.57  |  Elite Prospects Rank: 176.0  |  Steve Laidlaw Rank: 167  |  NHL.com (Points): 149  |  DOM RK (PUCKIN AROUND): 221
Mikael Backlund,209.92,5,  KKUPFL ADP: 216.67  |  Steve Laidlaw Rank: 205  |  NHL.com (Points): 142  |  DOM RK (PUCKIN AROUND): 217
Alexis Lafreniere,211.94,5,  KKUPFL ADP: 239.56  |  Steve Laidlaw Rank: 237  |  NHL.com (Points): 168  |  DOM RK (PUCKIN AROUND): 211
Jason Zucker,212.92,5,  KKUPFL ADP: 229.3  |  Steve Laidlaw Rank: 196  |  NHL.com (Points): 194  |  DOM RK (PUCKIN AROUND): 215
Jeremy Swayman,212.92,3,  KKUPFL ADP: 212.18  |  DOM RK (PUCKIN AROUND): 213
Dmitry Orlov,213.35,4,  KKUPFL ADP: 231.32  |  Steve Laidlaw Rank: 208  |  DOM RK (PUCKIN AROUND): 212
Alexander Barabanov,214.4,4,  KKUPFL ADP: 252.59  |  Elite Prospects Rank: 212.0  |  Steve Laidlaw Rank: 195  |  NHL.com (Points): 198
Oliver Bjorkstrand,214.6,6,  KKUPFL ADP: 229.36  |  Elite Prospects Rank: 190.0  |  Steve Laidlaw Rank: 182  |  NHL.com (Points): 188  |  DOM RK (PUCKIN AROUND): 222
Jordan Eberle,215.28,6,  KKUPFL ADP: 230.36  |  Elite Prospects Rank: 184.0  |  Steve Laidlaw Rank: 183  |  NHL.com (Points): 117  |  DOM RK (PUCKIN AROUND): 231
Rafael Harvey-Pinard,217.42,4,  KKUPFL ADP: 248.11  |  NHL.com (Points): 200  |  DOM RK (PUCKIN AROUND): 216
Erik Cernak,218.0,2,  DOM RK (PUCKIN AROUND): 218
Matt Duchene,218.78,6,  KKUPFL ADP: 178.45  |  Elite Prospects Rank: 180.0  |  Steve Laidlaw Rank: 162  |  NHL.com (Points): 54  |  DOM RK (PUCKIN AROUND): 251
Brandt Clarke,219.24,4,  KKUPFL ADP: 243.67  |  Steve Laidlaw Rank: 197  |  DOM RK (PUCKIN AROUND): 219
Patrick Kane,219.57,3,  KKUPFL ADP: 150.25  |  DOM RK (PUCKIN AROUND): 227
Keegan Kolesar,220.0,2,  DOM RK (PUCKIN AROUND): 220
Gustav Forsling,221.96,4,  KKUPFL ADP: 164.89  |  Steve Laidlaw Rank: 204  |  DOM RK (PUCKIN AROUND): 230
Charlie Coyle,222.17,6,  KKUPFL ADP: 251.89  |  Elite Prospects Rank: 164.0  |  Steve Laidlaw Rank: 242  |  NHL.com (Points): 167  |  DOM RK (PUCKIN AROUND): 229
Frank Vatrano,222.66,4,  KKUPFL ADP: 243.18  |  Steve Laidlaw Rank: 199  |  DOM RK (PUCKIN AROUND): 223
Eeli Tolvanen,223.54,4,  KKUPFL ADP: 244.47  |  Steve Laidlaw Rank: 189  |  DOM RK (PUCKIN AROUND): 225
